"STATION","DATE","PRCP","TMAX","TMIN"
"USW00094995","2011-01-01","0.00","20","5"
"USW00094995","2011-01-02","0.00","36","6"
"USW00094995","2011-01-03","0.00","40","9"
"USW00094995","2011-01-04","0.00","40","5"
"USW00094995","2011-01-05","0.00","42","13"
"USW00094995","2011-01-06","0.00","47","17"
"USW00094995","2011-01-07","0.00","42","18"
"USW00094995","2011-01-08","0.00","21","13"
"USW00094995","2011-01-09","0.26","22","17"
"USW00094995","2011-01-10","0.35","24","9"
"USW00094995","2011-01-11","0.00","10","-1"
"USW00094995","2011-01-12","0.00","9","-12"
"USW00094995","2011-01-13","0.00","25","-12"
"USW00094995","2011-01-14","0.00","29","5"
"USW00094995","2011-01-15","0.00","25","10"
"USW00094995","2011-01-16","0.00","24","14"
"USW00094995","2011-01-17","0.01","43","19"
"USW00094995","2011-01-18","0.03","19","10"
"USW00094995","2011-01-19","0.10","10","3"
"USW00094995","2011-01-20","0.01","20","-5"
"USW00094995","2011-01-21","0.02","19","6"
"USW00094995","2011-01-22","0.43","31","6"
"USW00094995","2011-01-23","0.00","12","-6"
"USW00094995","2011-01-24","0.00","38","6"
"USW00094995","2011-01-25","0.00","35","10"
"USW00094995","2011-01-26","0.00","26","13"
"USW00094995","2011-01-27","0.00","43","24"
"USW00094995","2011-01-28","0.00","50","20"
"USW00094995","2011-01-29","0.00","37","22"
"USW00094995","2011-01-30","0.00","22","12"
"USW00094995","2011-01-31","0.18","21","4"
"USW00094995","2011-02-01","0.30","9","2"
"USW00094995","2011-02-02","0.00","10","-7"
"USW00094995","2011-02-03","0.00","26","-6"
"USW00094995","2011-02-04","0.00","37","9"
"USW00094995","2011-02-05","0.05","39","20"
"USW00094995","2011-02-06","0.00","35","26"
"USW00094995","2011-02-07","0.00","26","3"
"USW00094995","2011-02-08","0.00","5","-4"
"USW00094995","2011-02-09","0.00","20","4"
"USW00094995","2011-02-10","0.00","38","8"
"USW00094995","2011-02-11","0.00","46","16"
"USW00094995","2011-02-12","0.00","51","27"
"USW00094995","2011-02-13","0.00","68","32"
"USW00094995","2011-02-14","0.00","52","30"
"USW00094995","2011-02-15","0.00","58","31"
"USW00094995","2011-02-16","0.00","63","30"
"USW00094995","2011-02-17","0.00","71","36"
"USW00094995","2011-02-18","0.00","57","23"
"USW00094995","2011-02-19","0.03","54","33"
"USW00094995","2011-02-20","0.00","65","20"
"USW00094995","2011-02-21","0.00","28","12"
"USW00094995","2011-02-22","0.00","42","8"
"USW00094995","2011-02-23","0.00","51","24"
"USW00094995","2011-02-24","0.45","28","14"
"USW00094995","2011-02-25","0.13","17","10"
"USW00094995","2011-02-26","0.02","26","11"
"USW00094995","2011-02-27","0.00","34","26"
"USW00094995","2011-02-28","0.00","34","12"
"USW00094995","2011-03-01","0.00","56","24"
"USW00094995","2011-03-02","0.00","36","12"
"USW00094995","2011-03-03","0.00","60","29"
"USW00094995","2011-03-04","0.00","33","18"
"USW00094995","2011-03-05","0.00","36","11"
"USW00094995","2011-03-06","0.00","47","23"
"USW00094995","2011-03-07","0.18","44","29"
"USW00094995","2011-03-08","0.15","37","33"
"USW00094995","2011-03-09","0.00","36","23"
"USW00094995","2011-03-10","0.00","55","17"
"USW00094995","2011-03-11","0.00","68","30"
"USW00094995","2011-03-12","0.00","46","28"
"USW00094995","2011-03-13","0.00","36","25"
"USW00094995","2011-03-14","0.00","55","24"
"USW00094995","2011-03-15","0.00","62","27"
"USW00094995","2011-03-16","0.00","73","27"
"USW00094995","2011-03-17","0.00","70","35"
"USW00094995","2011-03-19","0.00","61","34"
"USW00094995","2011-03-20","0.00","72","44"
"USW00094995","2011-03-21","0.00","67","39"
"USW00094995","2011-03-22","0.00","80","38"
"USW00094995","2011-03-23","0.00","49","31"
"USW00094995","2011-03-24","0.09","42","28"
"USW00094995","2011-03-25","0.16","36","31"
"USW00094995","2011-03-26","0.06","34","30"
"USW00094995","2011-03-27","0.00","38","27"
"USW00094995","2011-03-28","0.05","46","22"
"USW00094995","2011-03-29","0.00","40","27"
"USW00094995","2011-03-30","0.00","48","27"
"USW00094995","2011-03-31","0.04","43","33"
"USW00094995","2011-04-01","0.01","63","31"
